"documenttype","documentno","docdate","oderdate","duedate","postingdate","customercode","customername","yourreference","externaldocumentno","locationcode","paymentterms","postinggroup","currencycode","salespersoncode","printed","released","status","userid","period","entryno","vatinclusive","QtyDiscount","journal","shipping","packagescharge","picture"
"19","PL2750","2/27/2023 12:00:00 AM","","","","Dr423","TRAM TECHNICAL SERVICES LTD","SO.3317","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576957","False","","","","",""
"19","PL2751","2/23/2023 12:00:00 AM","","","","Dr511053","AMASHA ONE CONTRACTORS LTD (8)","SO.3318","","          ","","General             ","EUR       ","Sr1       ","","","1","Sarah               ","78","1576829","False","","","","",""
"19","PL2753","2/21/2023 12:00:00 AM","","","","Dr510832","SUMP GUARD CENTRE LTD","SO.3319","","          ","","General             ","KES       ","Sr5       ","","","1","Sarah               ","78","1576385","False","","","","",""
"19","PL2754","2/22/2023 12:00:00 AM","","","","Dr510780","NEW NILE IMPEX HANDWARE LTD(RO","SO.3320","","          ","","no vat              ","KES       ","Sr5       ","","","1","Lucybriate          ","78","1576487","False","","","","",""
"19","PL2755","2/21/2023 12:00:00 AM","","","","Dr90670","CIVISCOPE LTD","SO.3321","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576422","False","","","","",""
"19","PL2756","2/17/2023 12:00:00 AM","","","","Dr510912","DAVID ENGINEERING(K) LTD","SO.3322","","          ","","General             ","KES       ","Sr1       ","","","1","Lucybriate          ","78","1576143","False","","","","",""
"19","PL2757","2/23/2023 12:00:00 AM","","","","Dr510803","MAUWEST COMPANY LTD","SO.3323","","          ","","General             ","KES       ","Sr7       ","","","1","Sarah               ","78","1576667","False","","","","",""
"19","PL2758","2/24/2023 12:00:00 AM","","","","Dr511058","OLOOLUA HARDWARE STORES","SO.3324","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576890","False","","","","",""
"19","PL2759","2/24/2023 12:00:00 AM","","","","Dr510908","NGESA METAL FABRICATOR","SO.3325","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576887","False","","","","",""
"19","PL2760","2/24/2023 12:00:00 AM","","","","Dr511033","MANWICK HARDWARE","SO.3326","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576893","False","","","","",""
"19","PL2761","2/21/2023 12:00:00 AM","","","","Dr510794","ALEX MACHARIA","SO.3327","","          ","","General             ","KES       ","Sr5       ","","","1","Lucybriate          ","78","1576340","False","","","","",""
"19","PL2762","2/24/2023 12:00:00 AM","","","","Dr511060","NYERI CHOICE HARDWARE LTD","SO.3329","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576896","False","","","","",""
"19","PL2763","3/1/2023 12:00:00 AM","","","","Dr510794","ALEX MACHARIA","SO.3330","","          ","","General             ","KES       ","Sr5       ","","","1","Sarah               ","79","1576998","False","","","","",""
"19","PL2764","2/24/2023 12:00:00 AM","","","","Dr511062","ALVIX HARDWARE &amp; ELECTRONICS","SO.3331","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576908","False","","","","",""
"19","PL2765","3/1/2023 12:00:00 AM","","","","Dr510794","ALEX MACHARIA","SO.3332","","          ","","General             ","KES       ","Sr5       ","","","1","Sarah               ","79","1576991","False","","","","",""
"19","PL2766","2/21/2023 12:00:00 AM","","","","Dr510794","ALEX MACHARIA","SO.3333","","          ","","General             ","KES       ","Sr5       ","","","1","Lucybriate          ","78","1576365","False","","","","",""
"19","PL2767","2/22/2023 12:00:00 AM","","","","Dr510772","MPEKE HARDWARE","SO.3334","","          ","","no vat              ","KES       ","Sr1       ","","","1","Lucybriate          ","78","1576520","False","","","","",""
"19","PL2768","2/21/2023 12:00:00 AM","","","","Dr510795","MIBASA LTD","SO.3336","","          ","","General             ","KES       ","Sr5       ","","","1","Sarah               ","78","1576261","False","","","","",""
"19","PL2769","2/24/2023 12:00:00 AM","","","","Dr511063","STEMMAR HARDWARE AND PAINTS LTD(17)","SO.3338","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576911","False","","","","",""
"19","PL2770","2/21/2023 12:00:00 AM","","","","Dr510832","SUMP GUARD CENTRE LTD","SO.3339","","          ","","General             ","KES       ","Sr5       ","","","1","Sarah               ","78","1576363","False","","","","",""
"19","PL2771","2/24/2023 12:00:00 AM","","","","Dr511061","PALEAH STORES LTD(19)","SO.3340","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576904","False","","","","",""
"19","PL2772","2/21/2023 12:00:00 AM","","","","Dr510795","MIBASA LTD","SO.3341","","          ","","General             ","KES       ","Sr5       ","","","1","Sarah               ","78","1576269","False","","","","",""
"19","PL2773","2/22/2023 12:00:00 AM","","","","Dr392","BENSON KIOH","SO.3342","","          ","","General             ","KES       ","          ","","","1","Sarah               ","78","1576500","False","","","","",""
"19","PL2774","2/21/2023 12:00:00 AM","","","","Dr510795","MIBASA LTD","SO.3343","","          ","","General             ","KES       ","Sr5       ","","","1","Sarah               ","78","1576274","False","","","","",""
