"itemcode","date","invoiceno","journalno","doctype","receiptno","amount","receiptjournal"
"Dr593               ","10/6/2017 12:00:00 AM","INV380              ","Jv5586              ","10","Rct289              ","-52000.00","Jv5587              "
"Dr593               ","4/5/2018 12:00:00 AM","INV500              ","Jv7469              ","10","Rct366              ","-32400.00","Jv7470              "
"Dr593               ","6/22/2018 12:00:00 AM","INV579              ","Jv8486              ","10","Rct433              ","-16200.00","Jv8487              "
"Dr593               ","7/3/2018 12:00:00 AM","INV591              ","Jv8730              ","10","Rct454              ","-16200.00","Jv8746              "
"Dr593               ","10/5/2018 12:00:00 AM","INV681              ","Jv9902              ","10","Rct531              ","-27000.00","Jv9903              "
"Dr593               ","11/22/2018 12:00:00 AM","INV705              ","Jv10327             ","10","Rct553              ","-21600.00","Jv10328             "
"Dr593               ","1/24/2019 12:00:00 AM","INV741              ","Jv10957             ","10","Rct583              ","-27000.00","Jv10969             "
"Dr593               ","4/2/2019 12:00:00 AM","INV784              ","Jv11886             ","10","Rct676              ","-42000.00","Jv12391             "
"Dr593               ","9/25/2020 12:00:00 AM","INV1235             ","Jv19611             ","10","Rct990              ","-13600.00","Jv20166             "
"Dr593               ","10/8/2020 12:00:00 AM","INV1254             ","Jv19967             ","10","Rct1021             ","-24000.00","Jv20812             "
"Dr593               ","10/8/2020 12:00:00 AM","INV1264             ","Jv20232             ","10","Rct1021             ","-15600.00","Jv20812             "
"Dr593               ","10/15/2020 12:00:00 AM","INV1280             ","Jv20509             ","10","Rct1020             ","-43000.00","Jv20811             "
"Dr593               ","11/1/2020 12:00:00 AM","INV1312             ","Jv20884             ","10","Rct1603             ","-4500.00","Jv30172             "
"Dr593               ","11/1/2020 12:00:00 AM","INV1315             ","Jv20949             ","10","Rct1603             ","-60500.00","Jv30172             "
"Dr593               ","4/21/2021 12:00:00 AM","INV1315             ","Jv20949             ","10","Rct1235             ","-4500.00","Jv24056             "
"Dr593               ","4/21/2021 12:00:00 AM","INV1567             ","Jv24055             ","10","Rct1235             ","-4500.00","Jv24056             "
"Dr593               ","9/17/2021 12:00:00 AM","INV1567             ","Jv24055             ","10","Rct1530             ","-4500.00","Jv28431             "
"Dr593               ","9/17/2021 12:00:00 AM","INV.1893            ","Jv28423             ","10","Rct1530             ","-3000.00","Jv28431             "
"Dr593               ","9/20/2021 12:00:00 AM","INV.1903            ","Jv28764             ","10","Rct1541             ","-73706.00","Jv28765             "
"Dr593               ","9/20/2021 12:00:00 AM","INV.1903            ","Jv28764             ","10","3404                ","-1294.00","Jv28766             "
"Dr593               ","12/16/2021 12:00:00 AM","INV.1893            ","Jv28423             ","10","Rct1730             ","-4500.00","Jv31914             "
"Dr593               ","12/16/2021 12:00:00 AM","INV.1981            ","Jv29532             ","10","Rct1730             ","-16500.00","Jv31914             "
"Dr593               ","12/16/2021 12:00:00 AM","INV.2022            ","Jv30169             ","10","Rct1730             ","-27500.00","Jv31914             "
"Dr593               ","12/16/2021 12:00:00 AM","INV.2116            ","Jv31732             ","10","Rct1730             ","-12429.00","Jv31914             "
"Dr593               ","2/14/2022 12:00:00 AM","INV.2116            ","Jv31732             ","10","Rct1889             ","-5571.00","Jv33699             "
"Dr594               ","4/27/2016 12:00:00 AM","INV2229             ","J.16242             ","10","RC1462              ","-679140.00","J.16838             "
"Dr594               ","4/27/2016 12:00:00 AM","INV2229             ","J.16242             ","10","RC1463              ","-92161.88","J.16839             "
"Dr594               ","4/27/2016 12:00:00 AM","INV2230             ","J.16243             ","10","RC1463              ","-516829.18","J.16839             "
"Dr594               ","4/27/2016 12:00:00 AM","INV2234             ","J.16265             ","10","RC1463              ","-70148.94","J.16839             "
"Dr594               ","6/24/2016 12:00:00 AM","INV2234             ","J.16265             ","10","RC1531              ","-453480.63","J.17551             "
"Dr594               ","6/24/2016 12:00:00 AM","INV2245             ","J.16330             ","10","RC1531              ","-6700.37","J.17551             "
"Dr594               ","11/29/2016 12:00:00 AM","INV2245             ","J.16330             ","10","Rct53               ","-300000.00","Jv915               "
"Dr594               ","7/30/2017 12:00:00 AM","INV2245             ","J.16330             ","10","Rct246              ","-253481.26","Jv4664              "
"Dr594               ","7/30/2017 12:00:00 AM","INV2276             ","J.16717             ","10","Rct246              ","-50404.52","Jv4664              "
"Dr594               ","4/12/2021 12:00:00 AM","INV2276             ","J.16717             ","10","Rct1292             ","-30795.48","Jv24877             "
"Dr594               ","4/12/2021 12:00:00 AM","INV1557             ","Jv23990             ","10","Rct1292             ","-2314204.52","Jv24877             "
"Dr594               ","5/19/2021 12:00:00 AM","INV1557             ","Jv23990             ","10","Rct1340             ","-30795.48","Jv26068             "
"Dr594               ","5/19/2021 12:00:00 AM","INV1625             ","Jv24848             ","10","Rct1340             ","-1259204.52","Jv26068             "
"Dr594               ","6/24/2021 12:00:00 AM","INV1625             ","Jv24848             ","10","Rct1339             ","-1246400.00","Jv26062             "
"Dr594               ","6/25/2021 12:00:00 AM","INV1625             ","Jv24848             ","10","Rct1324             ","-74395.48","Jv25785             "
"Dr594               ","6/25/2021 12:00:00 AM","INV1719             ","Jv26047             ","10","Rct1324             ","-549052.52","Jv25785             "
"Dr594               ","6/25/2021 12:00:00 AM","INV1719             ","Jv26047             ","10","Rct1325             ","-320947.41","Jv25786             "
"Dr594               ","6/25/2021 12:00:00 AM","INV1713             ","Jv26029             ","10","Rct1325             ","-302500.59","Jv25786             "
"Dr594               ","7/16/2021 12:00:00 AM","INV1713             ","Jv26029             ","10","Rct1357             ","-222499.34","Jv26199             "
"Dr594               ","7/16/2021 12:00:00 AM","INV1710             ","Jv26019             ","10","Rct1357             ","-277500.66","Jv26199             "
"Dr594               ","7/30/2021 12:00:00 AM","INV1710             ","Jv26019             ","10","Rct1656             ","-402717.00","Jv30949             "
"Dr594               ","11/15/2021 12:00:00 AM","INV1710             ","Jv26019             ","10","Rct1666             ","-69782.08","Jv31016             "
"Dr594               ","11/15/2021 12:00:00 AM","INV.2062            ","Jv30651             ","10","Rct1666             ","-369117.92","Jv31016             "
"Dr594               ","11/15/2021 12:00:00 AM","INV.2062            ","Jv30651             ","10","3881                ","-7700.00","Jv32710             "
"Dr595               ","10/23/2015 12:00:00 AM","INV2024             ","J.15040             ","10","RC1297              ","-29280.00","J.15042             "
"Dr595               ","3/1/2016 12:00:00 AM","INV2126             ","J.15671             ","10","RC1397              ","-89999.99","J.16104             "
"Dr595               ","3/1/2016 12:00:00 AM","INV2192             ","J.15979             ","10","RC1397              ","-0.01","J.16104             "
"Dr595               ","3/8/2016 12:00:00 AM","INV2192             ","J.15979             ","10","RC1395              ","-36001.75","J.16102             "
"Dr595               ","3/8/2016 12:00:00 AM","INV2260             ","J.16511             ","10","RC1395              ","-0.25","J.16102             "
"Dr595               ","4/14/2016 12:00:00 AM","INV2260             ","J.16511             ","10","INV2260             ","-33217.51","J.16769             "
"Dr595               ","4/14/2016 12:00:00 AM","INV2291             ","J.16849             ","10","INV2260             ","-0.25","J.16769             "
"Dr595               ","5/31/2016 12:00:00 AM","INV2291             ","J.16849             ","10","RC1482              ","-36001.51","J.17097             "
"Dr595               ","5/31/2016 12:00:00 AM","INV2342             ","J.17218             ","10","RC1482              ","-0.49","J.17097             "
"Dr595               ","7/15/2016 12:00:00 AM","INV2342             ","J.17218             ","10","RC1546              ","-108000.00","J.17714             "
"Dr595               ","8/17/2016 12:00:00 AM","INV2342             ","J.17218             ","10","RC1580              ","-621899.17","J.18109             "
"Dr595               ","8/17/2016 12:00:00 AM","INV2363             ","J.17314             ","10","RC1580              ","-108005.28","J.18109             "
"Dr595               ","8/17/2016 12:00:00 AM","INV2476             ","J.18165             ","10","RC1580              ","-95.55","J.18109             "
"Dr605               ","3/7/2022 12:00:00 AM","INV.2281            ","Jv34032             ","10","Rct1981             ","-90000.00","Jv35041             "
"Dr605               ","3/7/2022 12:00:00 AM","INV.2323            ","Jv34709             ","10","Rct1981             ","-1125000.00","Jv35041             "
"Dr620               ","6/10/2016 12:00:00 AM","INV2344             ","J.17220             ","10","RC1497              ","-31119.96","J.17221             "
"Dr620               ","6/10/2016 12:00:00 AM","INV2352             ","J.17280             ","10","RC1497              ","-0.04","J.17221             "
"Dr620               ","6/14/2016 12:00:00 AM","INV2352             ","J.17280             ","10","RC1502              ","-31119.93","J.17300             "
"Dr620               ","6/14/2016 12:00:00 AM","INV2358             ","J.17308             ","10","RC1502              ","-0.07","J.17300             "
"Dr620               ","6/17/2016 12:00:00 AM","INV2358             ","J.17308             ","10","RC1505              ","-15559.91","J.17309             "
