"Date","Documentno","Documenttype","Accountno","Grossamount","JournalNo","Dimension_One","Dimension_Two","Currency","Datewhenpaid"
"5/10/2019 12:00:00 AM","INV836              ","10","Dr510696            ","48000","Jv12349             ","          ","          ","KES","5/10/2019 12:00:00 AM"
"5/10/2019 12:00:00 AM","Rct666              ","12","Dr510696            ","-48000","Jv12350             ","","","KES",""
"5/11/2019 12:00:00 AM","INV837              ","10","Dr510690            ","2241000","Jv12353             ","          ","          ","KES","5/11/2019 12:00:00 AM"
"5/11/2019 12:00:00 AM","Rct667              ","12","Dr510688            ","-772845","Jv12356             ","","","KES",""
"5/15/2019 12:00:00 AM","INV838              ","10","Dr510698            ","486000","Jv12359             ","          ","          ","KES","5/16/2019 12:00:00 AM"
"5/16/2019 12:00:00 AM","Rvs53               ","13","Dr510698            ","-486000","Jv12364             ","          ","          ","KES",""
"5/14/2019 12:00:00 AM","INV839              ","10","Dr510696            ","32000","Jv12372             ","          ","          ","KES","5/14/2019 12:00:00 AM"
"5/16/2019 12:00:00 AM","INV840              ","10","Dr510698            ","483000","Jv12378             ","          ","          ","KES","5/17/2019 12:00:00 AM"
"4/26/2019 12:00:00 AM","Rct668              ","12","Dr470683            ","-54000","Jv12379             ","","","KES",""
"5/16/2019 12:00:00 AM","Rct669              ","12","Dr470683            ","-849470.75","Jv12380             ","","","KES",""
"4/20/2019 12:00:00 AM","2156                ","0","Dr470683            ","-1010276","Jv12381             ","B01       ","          ","KES",""
"5/2/2019 12:00:00 AM","Rct670              ","12","Dr510690            ","-1120500","Jv12382             ","","","KES",""
"5/7/2019 12:00:00 AM","Rct671              ","12","Dr510690            ","-1120500","Jv12383             ","","","KES",""
"5/10/2019 12:00:00 AM","Rct672              ","12","Dr510690            ","-2241000","Jv12384             ","","","KES",""
"5/13/2019 12:00:00 AM","Rct673              ","12","Dr518               ","-66000","Jv12385             ","","","KES",""
"5/15/2019 12:00:00 AM","2158                ","0","Dr518               ","-3600","Jv12386             ","B01       ","          ","KES",""
"5/14/2019 12:00:00 AM","2160                ","0","Dr510688            ","-42155","Jv12387             ","B01       ","          ","KES",""
"5/7/2019 12:00:00 AM","Rct674              ","12","Dr547               ","-240000","Jv12388             ","","","KES",""
"5/17/2019 12:00:00 AM","Rct675              ","12","Dr510698            ","-458017","Jv12389             ","","","KES",""
"5/17/2019 12:00:00 AM","2162                ","0","Dr510698            ","-24983","Jv12390             ","B01       ","          ","KES",""
"4/2/2019 12:00:00 AM","Rct676              ","12","Dr593               ","-42000","Jv12391             ","","","KES",""
"4/15/2019 12:00:00 AM","Rct677              ","12","Dr568               ","-180000","Jv12411             ","","","KES",""
"4/26/2019 12:00:00 AM","Rct679              ","12","Dr568               ","-180000","Jv12412             ","","","KES",""
"5/20/2019 12:00:00 AM","Rct680              ","12","Dr471               ","-208450","Jv12421             ","","","KES",""
"5/20/2019 12:00:00 AM","2186                ","0","Dr471               ","-11370","Jv12422             ","B01       ","          ","KES",""
"5/22/2019 12:00:00 AM","INV841              ","10","Dr510699            ","91500","Jv12466             ","          ","          ","KES","5/22/2019 12:00:00 AM"
"5/16/2019 12:00:00 AM","Rct681              ","12","Dr510699            ","-86777.23","Jv12467             ","","","KES",""
"5/22/2019 12:00:00 AM","2189                ","0","Dr510699            ","-4732.77","Jv12468             ","B01       ","          ","KES",""
"5/23/2019 12:00:00 AM","INV842              ","10","Dr510700            ","815000","Jv12481             ","          ","          ","KES","5/24/2019 12:00:00 AM"
"5/20/2019 12:00:00 AM","2194                ","0","Dr470683            ","-66466","Jv12519             ","B01       ","          ","KES",""
"5/21/2019 12:00:00 AM","2196                ","0","Dr470683            ","-222000","Jv12520             ","B01       ","          ","KES",""
"5/23/2019 12:00:00 AM","Rct682              ","12","Dr470683            ","-849470.75","Jv12521             ","","","KES",""
"5/24/2019 12:00:00 AM","Rct683              ","12","Dr510700            ","-772845","Jv12554             ","","","KES",""
"5/24/2019 12:00:00 AM","2207                ","0","Dr510700            ","-42155","Jv12555             ","B01       ","          ","KES",""
"5/27/2019 12:00:00 AM","Rct684              ","12","Dr561               ","-93000","Jv12556             ","","","KES",""
"5/27/2019 12:00:00 AM","INV843              ","10","Dr561               ","46500","Jv12559             ","          ","          ","KES","5/27/2019 12:00:00 AM"
"5/31/2019 12:00:00 AM","INV844              ","10","Dr561               ","46500","Jv12583             ","          ","          ","KES","5/31/2019 12:00:00 AM"
"5/31/2019 12:00:00 AM","INV845              ","10","Dr510698            ","777000","Jv12588             ","          ","          ","KES","6/3/2019 12:00:00 AM"
"7/19/2021 12:00:00 AM","Rct1472             ","12","Dr510815            ","-9400","Jv27789             ","","","KES",""
"6/6/2019 12:00:00 AM","INV847              ","10","Dr100670            ","184000","Jv12618             ","          ","          ","KES",""
"6/7/2019 12:00:00 AM","INV848              ","10","Dr480685            ","35000","Jv12623             ","          ","          ","KES","2/3/2022 12:00:00 AM"
"6/3/2019 12:00:00 AM","Rct685              ","12","Dr510698            ","-736810","Jv12624             ","","","KES",""
"6/3/2019 12:00:00 AM","2217                ","0","Dr510698            ","-40190","Jv12625             ","B01       ","          ","KES",""
"6/7/2019 12:00:00 AM","Rct686              ","12","Dr480685            ","-29000","Jv12628             ","","","KES",""
"6/12/2019 12:00:00 AM","INV849              ","10","Dr561               ","46500","Jv12663             ","          ","          ","KES","6/12/2019 12:00:00 AM"
"6/12/2019 12:00:00 AM","INV850              ","10","Dr510698            ","1438500","Jv12670             ","          ","          ","KES","6/13/2019 12:00:00 AM"
"6/13/2019 12:00:00 AM","INV851              ","10","Dr510701            ","18000","Jv12677             ","          ","          ","KES","6/13/2019 12:00:00 AM"
"6/14/2019 12:00:00 AM","INV852              ","10","Dr510700            ","815000","Jv12680             ","          ","          ","KES","6/14/2019 12:00:00 AM"
"6/14/2019 12:00:00 AM","INV853              ","10","Dr574               ","120000","Jv12683             ","          ","          ","KES","6/18/2019 12:00:00 AM"
"6/14/2019 12:00:00 AM","INV854              ","10","Dr510701            ","18000","Jv12686             ","          ","          ","KES","6/14/2019 12:00:00 AM"
"6/14/2019 12:00:00 AM","Rct687              ","12","Dr510701            ","-18000","Jv12687             ","","","KES",""
"6/13/2019 12:00:00 AM","Rct688              ","12","Dr510701            ","-18000","Jv12688             ","","","KES",""
