"date","stname","doctyp","batch","itemcode","invref","netamt","vat","amount","fulqty","loosqty","price","curr_rat","stockvalue","store","journal","curr_cod","period","del","factory","jobcard","len","wid","sman","pkey","BQitemcode","dimension","PartPerUnit"
"9/7/2021 12:00:00 AM","BITUSHIELD NO 5                                   ","19","","S.103               ","SO2309              ","10000.00","1379.31","10000.0000","0.0000","-40.0000","215.52","","","1         ","Jv28008             ","","61","","","PL1898    ","","","","1727753","","","1"
"9/3/2021 12:00:00 AM","Diesel                                            ","30","1012821             ","S.113               ","LPO1378             ","500000.00","37037.04","500000.0000","0.0000","5000.0000","92.59","","","1         ","Jv28011             ","","61","","","GRN1049   ","","","","1727754","","","1"
"9/7/2021 12:00:00 AM","K1-70  Emulsion (70% bidder c                     ","19","","S.15                ","SO2311              ","800000.03","110344.83","800000.0300","-50.0000","0.0000","13793.10","","","1         ","Jv28013             ","","61","","","PL1899    ","","","","1727755","","","1"
"9/7/2021 12:00:00 AM","BITUSHIELD NO. 3                                  ","19","","S.60166             ","SO2312              ","21000.00","2896.55","21000.0000","0.0000","-80.0000","226.29","","","1         ","Jv28015             ","","61","","","PL1900    ","","","","1727756","","","1"
"9/4/2021 12:00:00 AM","183 kgs Bitumen 80/100                            ","40","","S.16                ","REQ645              ","2524.32","0.00","2524.3200","0.0000","-8784.0000","52.59","","","1         ","Jv28018             ","","61","","","REQ645    ","","","","1727757","","","1"
"9/4/2021 12:00:00 AM","Bitumen 80/100 BULK                               ","40","","S.8                 ","REQ645              ","2524.32","0.00","2524.3200","0.0000","8784.0000","52.59","","","1         ","Jv28018             ","","61","","","REQ645    ","","","","1727758","","","1"
"9/4/2021 12:00:00 AM","SCRAP(Empty Drums)                                ","40","","S.122               ","REQ645              ","2524.32","0.00","2524.3200","0.0000","48.0000","52.59","","","1         ","Jv28018             ","","61","","","REQ645    ","","","","1727759","","","1"
"9/7/2021 12:00:00 AM","K1-60 Emulsion (60% bidder co                     ","19","","S.15                ","SO2313              ","204000.01","28137.93","204000.0100","-12.0000","0.0000","14655.17","","","1         ","Jv28019             ","","61","","","PL1901    ","","","","1727760","","","1"
"12/10/2021 12:00:00 AM","SCRAP(Empty Drums)                                ","40","","S.122               ","REQ699              ","770.00","0.00","770.0000","0.0000","11.0000","70.00","","","1         ","Jv31871             ","","64","","","REQ699    ","","","","1728937","","","1"
"12/16/2021 12:00:00 AM","","28","","S.8                 ","B/No1058            ","","","","0.0000","-1870.8000","0.00","","","1         ","Jv31872             ","","64","","","","","","","1728938","","","1"
"12/16/2021 12:00:00 AM","","28","","S.13                ","B/No1058            ","","","","0.0000","-6000.0000","0.00","","","1         ","Jv31872             ","","64","","","","","","","1728939","","","1"
