"entryno","documenttype","docdate","documentno","locationcode","stocktype","code","description","unitofmeasure","Quantity","Quantity_toinvoice","Qunatity_delivered","UnitPrice","vatamount","invoiceamount","completed","printed","containerprice","containersunits","totalchargedcontainers","containercode","vatrate","inclusive","UOM","shipping","PriceInPricelist","Increase","PartPerUnit","modified","Qunatity_replaced","packagescharge"
"1576831","15","3/25/2022 12:00:00 AM","SAMP-42","","","S.8","Bitumen 80/100 BULK                               ","bucket    ","1.00","","","0.00","0.00","0.00","","","0.00","0","0.00","","16.00","False","","","","","20","","",""
"1576832","16","3/25/2022 12:00:00 AM","SL618","","","S.60185","BITUSHIELD TYPE 7                                 ","bucket    ","2.00","","","5431.03","1737.93","12600.00","","","0.00","2","0.00","S.90","16.00","False","","","4741.3794","689.6506","20","","",""
"1576833","19","3/25/2022 12:00:00 AM","PL2367","","","S.60185","BITUSHIELD TYPE 7                                 ","bucket    ","2.00","","","5431.03","1737.93","12600.00","","","0.00","2","0.00","S.90","16.00","False","","","4741.3794","689.6506","20","","",""
"1576834","10","3/10/2022 12:00:00 AM","INV.2350","","","S.60185","BITUSHIELD TYPE 7                                 ","bucket    ","2.00","","","5431.03","1738.00","12600.00","","","","","0.00","S.90","16.00","False","","0","4741.3794","689.6506","20","","",""
"1576835","1","3/25/2022 12:00:00 AM","SO.2874","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","15.00","","15.00","15948.28","38275.86","277499.99","","","0.00","15","0.00","S.15","16.00","False","","","14000","1948.28","200","15","",""
"1576836","16","3/25/2022 12:00:00 AM","SL619","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","15.00","","","15948.28","38275.86","277499.99","","","0.00","15","0.00","S.15","16.00","False","","","14000","1948.28","200","","",""
"1576837","19","3/25/2022 12:00:00 AM","PL2368","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","15.00","","","15948.28","38275.86","277499.99","","","0.00","15","0.00","S.15","16.00","False","","","14000","1948.28","200","","",""
"1576838","10","3/25/2022 12:00:00 AM","INV.2351","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","15.00","","15.00","15948.28","38276.00","277500.00","","","","15","0.00","S.15","16.00","False","","0","14000","1948.28","200","","",""
"1576839","1","2/6/2022 12:00:00 AM","SO.2875","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","77.00","","77.00","14655.17","180551.73","1309000.05","","","0.00","77","0.00","S.15","16.00","False","","","14000","655.17","200","","",""
"1576840","19","3/25/2022 12:00:00 AM","PL2369","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","77.00","","","14655.17","180551.73","1309000.05","","","0.00","77","0.00","S.15","16.00","False","","","14000","655.17","200","","",""
"1576841","10","2/6/2022 12:00:00 AM","INV.2352","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","77.00","","","14655.17","180552.00","1399000.00","","","","","0.00","S.15","16.00","False","","90000","14000","655.17","200","","",""
