"date","details","cleared","flag","invref","acctfolio","allocat","amount","pamount","module","type","cash","del","curr_cod","curr_rat","id","i_n_t","period","journal","typ","sns","vatamt","vatc","pkey","systypes_1","ledger"
"1/29/2018 12:00:00 AM","Receipt  Inv no.457                                                                                 ","","DR    ","Rct340              ","Dr190676            ","","-30000","0","","","","","KES       ","","","R","17","Jv6704              ","_W","","0","","595857","12","02Ac00126           "
"12/6/2017 12:00:00 AM","Prepayment                                                                                          ","","DR    ","1309                ","Dr639               ","","-200000","","","J","","","KES       ","1","","J","16","Jv6705              ","J ","","","","595858","0","01Eq00332           "
"2/2/2018 12:00:00 AM","183 kgs Bitumen 80/100                                                                              ","","I     ","INV461              ","Dr190676            ","","24888","0","","","","","KES       ","","","I","18","Jv6708              ","r ","","3432.83","","595859","10","General             "
"2/2/2018 12:00:00 AM","Receipt  inv461                                                                                     ","","DR    ","Rct341              ","Dr190676            ","","-24888","0","","","","","KES       ","","","R","18","Jv6709              ","_W","","0","","595860","12","02Ac00126           "
"2/3/2018 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV462              ","Dr533               ","","64802.24","0","","","","","KES       ","","","I","18","Jv6721              ","r ","","8938.24","","605852","10","General             "
"2/6/2018 12:00:00 AM","K1-70  Emulsion (70% bidder content)                                                                ","","I     ","INV463              ","Dr471               ","","324800","0","","","","","KES       ","","","I","18","Jv6726              ","r ","","44800","","605853","10","General             "
"2/6/2018 12:00:00 AM","K1-70  Emulsion (70% bidder content)                                                                ","","I     ","INV464              ","Dr471               ","","174000","0","","","","","KES       ","","","I","18","Jv6729              ","r ","","24000","","605854","10","General             "
"2/2/2018 12:00:00 AM","183 kgs Bitumen 80/100                                                                              ","","I     ","INV465              ","Dr170670            ","","594750","0","","","","","KES       ","","","I","18","Jv6736              ","r ","","82034.48","","615852","10","General             "
"12/2/2017 12:00:00 AM","Receipt  inv401                                                                                     ","","DR    ","Rct342              ","Dr80670             ","","-156000","0","","","","","KES       ","","","R","16","Jv6783              ","_W","","0","","615853","12","02Ac00126           "
"2/7/2018 12:00:00 AM","183 kgs Bitumen 80/100                                                                              ","","I     ","INV466              ","Dr190676            ","","12444","0","","","","","KES       ","","","I","18","Jv6787              ","r ","","1716.41","","615854","10","General             "
"2/7/2018 12:00:00 AM","Receipt  Inv.466                                                                                    ","","DR    ","Rct343              ","Dr190676            ","","-12444","0","","","","","KES       ","","","R","18","Jv6788              ","_W","","0","","615855","12","02Ac00126           "
"2/12/2018 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV467              ","Dr190677            ","","240000","0","","","","","KES       ","","","I","18","Jv6808              ","r ","","33103.45","","625852","10","General             "
"2/12/2018 12:00:00 AM","Receipt  INV.467                                                                                    ","","DR    ","Rct344              ","Dr190677            ","","-240000","0","","","","","KES       ","","","R","18","Jv6809              ","_W","","0","","625853","12","02Ac00126           "
"2/14/2018 12:00:00 AM","K1-60 Emulsion (60% bidder content) X 1.00 Drums                                                    ","","I     ","Rvs24               ","Dr369               ","","-16000","0","","","","","KES       ","","","I","18","Jv6837              ","r ","","-2206.9","","625855","13","General             "
"11/21/2017 12:00:00 AM","Receipt  Inv.438                                                                                    ","","DR    ","Rct346              ","Dr369               ","","-16000","0","","","","","KES       ","","","R","15","Jv6838              ","_W","","0","","625856","12","02Ac00126           "
"2/15/2018 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV468              ","Dr533               ","","48601.68","0","","","","","KES       ","","","I","18","Jv6896              ","r ","","6703.68","","625857","10","General             "
"2/16/2018 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV469              ","Dr533               ","","81002.8","0","","","","","KES       ","","","I","18","Jv6901              ","r ","","11172.8","","625858","10","General             "
"2/17/2018 12:00:00 AM","MC-30 CutBack                                                                                       ","","I     ","INV470              ","Dr649               ","","1700000","0","","","","","KES       ","","","I","18","Jv6904              ","r ","","234482.76","","635854","10","General             "
"2/19/2018 12:00:00 AM","Black Bituminous Paint  PF4                                                                         ","","I     ","INV471              ","Dr649               ","","120000","0","","","","","KES       ","","","I","18","Jv6907              ","r ","","16551.72","","635855","10","General             "
"2/17/2018 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV472              ","Dr190678            ","","775000","0","","","","","KES       ","","","I","18","Jv6910              ","r ","","106896.55","","635856","10","General             "
