"itemcode","StockIn","cost","StockOut","StockBalance","rowid","journal","GRN","PartPerUnit"
"S.9                 ","4600","58.25","4600","0","720512","Jv17347             ","B/No370             ",""
"S.15                ","150","1000","150","0","720513","Jv17356             ","LPO724              ",""
"S.120               ","26535","58","0","26535","720514","Jv17365             ","LPO725              ",""
"S.143               ","1","9600","1","0","720515","Jv17369             ","LPO726              ",""
"S.87                ","10","200","0","10","720516","Jv17371             ","LPO727              ",""
"S.103               ","40","210","40","0","720517","Jv17371             ","LPO727              ",""
"S.144               ","10","210","0","10","720518","Jv17371             ","LPO727              ",""
"S.7                 ","10000","36.38","10000","0","720519","Jv17374             ","B/No371             ",""
"S.7                 ","18000","34.61","18000","0","720520","Jv17375             ","B/No372             ",""
"S.15                ","50","1000","50","0","720521","Jv17384             ","LPO728              ",""
"S.120               ","18300","58","0","18300","720522","Jv17389             ","LPO729              ",""
"S.160               ","180","826.5","0","180","720523","Jv17410             ","LPO731              ",""
"S.15                ","122","1000","122","0","720524","Jv17414             ","LPO732              ",""
"S.15                ","100","1000","100","0","720525","Jv17474             ","LPO733              ",""
"S.6                 ","11000","33.01","11000","0","720526","Jv17482             ","B/No373             ",""
"S.7                 ","13600","34.37","13600","0","720527","Jv17483             ","B/No374             ",""
"S.7                 ","13500","34.61","13500","0","720528","Jv17484             ","B/No375             ",""
"S.7                 ","13600","34.35","13600","0","720529","Jv17490             ","B/No376             ",""
"S.15                ","4","1000","4","0","720530","Jv17491             ","LPO734              ",""
"S.113               ","3000","72","0","3000","720531","Jv17551             ","LPO737              ",""
"S.120               ","19947","52","0","19947","720532","Jv17555             ","LPO738              ",""
"S.162               ","26390","51.6525198938992","0","26390","720533","Jv17557             ","LPO736              ",""
"S.150               ","12000","45.81","12000","0","720534","Jv17600             ","B/No377             ",""
"S.6                 ","15500","31.86","15500","0","720535","Jv17604             ","B/No378             ",""
"S.9                 ","2","50","2","0","720536","Jv17614             ","WRK301              ",""
"S.162               ","20020","49","0","20020","720537","Jv17626             ","LPO735              ",""
"S.15                ","63","1000","63","0","720538","Jv17634             ","LPO739              ",""
"S.7                 ","8000","29.15","8000","0","720539","Jv17644             ","B/No379             ",""
"S.40165             ","16836","52","0","16836","720540","Jv17654             ","LPO740              ",""
"S.160               ","180","826.5","0","180","720541","Jv17657             ","LPO741              ",""
"S.17                ","240000","0.0474866666666667","0","240000","720542","Jv17671             ","LPO742              ",""
"S.15                ","14","1000","14","0","720543","Jv17673             ","LPO743              ",""
"S.15                ","50","1000","50","0","720544","Jv17675             ","LPO744              ",""
"S.7                 ","15400","37.07","15400","0","720545","Jv17749             ","B/No380             ",""
"S.15                ","150","1000","150","0","720546","Jv17803             ","LPO748              ",""
"S.120               ","17751","52","0","17751","720547","Jv17805             ","LPO749              ",""
"S.120               ","26535","52","0","26535","720548","Jv17807             ","LPO750              ",""
"S.120               ","26535","52","0","26535","720549","Jv17809             ","LPO751              ",""
"S.15                ","126","1000","126","0","720550","Jv17811             ","LPO752              ",""
"S.9                 ","800","56.42","800","0","720551","Jv17813             ","B/No381             ",""
"S.7                 ","14000","31.52","14000","0","720552","Jv17818             ","B/No382             ",""
"S.150               ","4600","33.79","4600","0","720553","Jv17819             ","B/No383             ",""
"S.7                 ","9200","33.94","9200","0","720554","Jv17820             ","B/No384             ",""
"S.7                 ","14000","29.63","14000","0","720555","Jv17821             ","B/No385             ",""
"S.7                 ","14000","29.69","14000","0","720556","Jv17822             ","B/No387             ",""
"S.7                 ","14000","29.69","14000","0","720557","Jv17825             ","B/No388             ",""
"S.7                 ","13800","31.99","13800","0","720558","Jv17840             ","B/No389             ",""
"S.7                 ","12400","35.16","12400","0","720559","Jv17842             ","B/No390             ",""
"S.160               ","180","826.5","0","180","720560","Jv17856             ","LPO755              ",""
"S.99                ","4400","60.87","4400","0","720561","Jv17912             ","B/No391             ",""
"S.13                ","1000","62.4","0","1000","720562","Jv17925             ","LPO756              ",""
"S.13                ","1000","70.5","0","1000","720563","Jv17927             ","WRK302              ",""
"S.9                 ","5000","57.78","5000","0","720564","Jv17928             ","B/No392             ",""
"S.6                 ","7000","29.78","7000","0","720565","Jv17933             ","B/No393             ",""
"S.7                 ","3500","29.67","3500","0","720566","Jv17934             ","B/No394             ",""
"S.6                 ","10500","29.71","10500","0","720567","Jv17958             ","B/No395             ",""
"S.7                 ","9000","34.69","9000","0","720568","Jv17964             ","B/No396             ",""
"S.60168             ","39825","14.288","0","39825","720569","Jv17966             ","LPO746              ",""
"S.15                ","150","1000","150","0","720570","Jv17970             ","LPO757              ",""
"S.120               ","26535","52","0","26535","720571","Jv17972             ","LPO758              ",""
"S.113               ","750","62.5","0","750","720572","Jv18024             ","LPO759              ",""
"S.15                ","1","1000","1","0","720573","Jv18029             ","LPO760              ",""
"S.60169             ","7500","26.0376","0","7500","720574","Jv18045             ","LPO761              ",""
"S.60170             ","272","912.54","0","272","720575","Jv18045             ","LPO761              ",""
"S.17                ","240000","0.0456","0","240000","720576","Jv18047             ","LPO763              ",""
"S.30164             ","50","114","0","50","720577","Jv18051             ","LPO764              ",""
"S.124               ","50000","0.114","0","50000","720578","Jv18073             ","LPO766              ",""
"S.13                ","600","62.4","0","600","720579","Jv18081             ","LPO767              ",""
"S.15                ","100","1000","100","0","720580","Jv18083             ","LPO768              ",""
"S.15                ","50","1000","50","0","720581","Jv18091             ","LPO770              ",""
"S.160               ","420","826.5","0","420","720582","Jv18114             ","LPO773              ",""
"S.161               ","360","826.5","0","360","720583","Jv18114             ","LPO773              ",""
"S.9                 ","3000","56.81","3000","0","720584","Jv18130             ","B/No397             ",""
