"documenttype","documentno","docdate","oderdate","duedate","postingdate","vendorcode","vendorname","yourreference","externaldocumentno","locationcode","paymentterms","postinggroup","currencycode","printed","released","status","userid","period","entryno","vatinclusive","Dimension_1","Dimension_2","freight"
"18","LPO259","1/10/2018 12:00:00 AM","","1/11/2018 12:00:00 AM","","cr80612","JEY OIL AFRICAN LTD","","","          ","","General             ","KES       ","1","2","1","Mugure              ","17","280216","False","E25       ","          ","0"
"18","LPO261","1/18/2018 12:00:00 AM","","1/19/2018 12:00:00 AM","","cr90612","KIFARU ENTERPRISES","","","          ","","01                  ","KES       ","1","2","1","Mugure              ","17","290216","False","E25       ","          ","0"
"18","LPO262","1/21/2018 12:00:00 AM","","1/23/2018 12:00:00 AM","","cr80612","JEY OIL AFRICAN LTD","","","          ","","General             ","KES       ","1","2","1","Mugure              ","17","290218","False","E25       ","          ","0"
"18","LPO265","1/23/2018 12:00:00 AM","","1/25/2018 12:00:00 AM","","cr40612","NATO ENERGY DEALERS LTD","","","          ","","01                  ","KES       ","1","2","1","Mugure              ","17","290224","False","E25       ","          ","0"
"18","LPO266","9/20/2017 12:00:00 AM","","9/23/2017 12:00:00 AM","","cr483","LYDIA NYAMBURA KARANJA","","","          ","","notvat              ","KES       ","1","2","1","Mugure              ","13","290227","True","E25       ","          ","0"
"18","LPO267","12/16/2017 12:00:00 AM","","1/25/2018 12:00:00 AM","","cr483","LYDIA NYAMBURA KARANJA","","","          ","","notvat              ","KES       ","1","2","1","Mugure              ","16","290230","True","E25       ","          ","0"
"18","LPO268","1/6/2018 12:00:00 AM","","1/25/2018 12:00:00 AM","","cr483","LYDIA NYAMBURA KARANJA","","","          ","","notvat              ","KES       ","1","2","1","Mugure              ","17","290233","True","E25       ","          ","0"
"18","LPO271","1/24/2018 12:00:00 AM","","1/27/2018 12:00:00 AM","","cr535","BOREDO SUPPLIES","","","          ","","notvat              ","KES       ","1","2","1","Mugure              ","17","290237","True","E25       ","          ","0"
"18","LPO274","2/1/2018 12:00:00 AM","","2/2/2018 12:00:00 AM","","cr80612","JEY OIL AFRICAN LTD","","","          ","","General             ","KES       ","1","2","1","Mugure              ","18","290242","False","E25       ","          ","0"
"18","LPO277","2/6/2018 12:00:00 AM","","2/7/2018 12:00:00 AM","","cr30600","CASH DRUMS","pc3556","","          ","","01                  ","KES       ","1","1","1","Mary                ","18","300241","False","          ","          ","0"
"18","LPO279","2/6/2018 12:00:00 AM","","2/7/2018 12:00:00 AM","","cr30600","CASH DRUMS","pc 3556","","          ","","01                  ","KES       ","1","2","1","Mary                ","18","300242","False","          ","          ","0"
"18","LPO281","2/8/2018 12:00:00 AM","","2/13/2018 12:00:00 AM","","cr590","TUFFSTEEL LIMITED","INV.6000549","","          ","","General             ","KES       ","1","2","1","Mugure              ","18","310240","False","E25       ","          ","0"
"18","LPO282","2/14/2018 12:00:00 AM","","2/16/2018 12:00:00 AM","","cr40612","NATO ENERGY DEALERS LTD","","","          ","","01                  ","KES       ","1","2","1","Mugure              ","18","320240","False","E25       ","          ","0"
