"docno","date","itemcode","externalref","narrative","amount","printed","journal","currency"
"Rct391              ","5/14/2018 12:00:00 AM","Dr423               ","Cash","Paid in KES","71000.00","True","Jv7908","KES       "
"Rct392              ","5/14/2018 12:00:00 AM","Dr300681            ","Cash","Paid in KES","54000.00","True","Jv7912","KES       "
"Rct393              ","5/5/2018 12:00:00 AM","Dr290678            ","Mpesa","Paid in KES","20880.00","True","Jv7913","KES       "
"Rct394              ","5/16/2018 12:00:00 AM","Dr435               ","chq618","Paid in KES","170500.00","True","Jv7946","KES       "
"Rct395              ","5/16/2018 12:00:00 AM","Dr533               ","chq 13048","Paid in KES","75000.00","True","Jv7948","KES       "
"Rct396              ","5/10/2018 12:00:00 AM","Dr300679            ","Mpesa","Paid in KES","22500.00","True","Jv7979","KES       "
"Rct397              ","5/12/2018 12:00:00 AM","Dr220678            ","Cash","Paid in KES","18500.00","True","Jv8006","KES       "
"Rct399              ","5/16/2018 12:00:00 AM","Dr220678            ","Cash","Paid in KES","18000.00","True","Jv8007","KES       "
"Rct400              ","5/17/2018 12:00:00 AM","Dr220678            ","Cash","Paid in KES","30000.00","True","Jv8008","KES       "
"Rct401              ","5/18/2018 12:00:00 AM","Dr547               ","bbk597","Paid in KES","100000.00","True","Jv8016","KES       "
