"itemcode","date","invoiceno","journalno","doctype","receiptno","amount","receiptjournal"
"cr354               ","9/30/2016 12:00:00 AM","11                  ","Jv500               ","23","14                  ","69600.00","Jv625               "
"cr354               ","9/30/2016 12:00:00 AM","11                  ","Jv501               ","23","RTGS                ","69600.00","Jv737               "
"cr354               ","10/25/2016 12:00:00 AM","15                  ","Jv626               ","23","RTGS                ","69600.00","Jv743               "
"cr354               ","11/25/2016 12:00:00 AM","INMG1163            ","Jv933               ","23","RTGS                ","69600.00","Jv926               "
"cr354               ","12/29/2016 12:00:00 AM","INMG1194            ","Jv1367              ","23","1433                ","69600.00","Jv2783              "
"cr354               ","1/25/2017 12:00:00 AM","INMG1222            ","Jv2033              ","23","1433                ","69600.00","Jv2783              "
"cr354               ","2/25/2017 12:00:00 AM","INMG1265            ","Jv2374              ","23","TRF                 ","69600.00","Jv4002              "
"cr354               ","3/28/2017 12:00:00 AM","INMG1279            ","Jv3353              ","23","TRF                 ","69600.00","Jv4002              "
"cr354               ","4/25/2017 12:00:00 AM","INMG1304            ","Jv3354              ","23","INMG133             ","69600.00","Jv4202              "
"cr354               ","5/25/2017 12:00:00 AM","INMG133             ","Jv4029              ","23","TRF                 ","69600.00","Jv4149              "
"cr354               ","5/25/2017 12:00:00 AM","INMG1304            ","Jv4203              ","23","trf190              ","69600.00","Jv4713              "
"cr354               ","6/27/2017 12:00:00 AM","INMG1359            ","Jv4384              ","23","130                 ","69600.00","Jv5690              "
"cr354               ","7/25/2017 12:00:00 AM","INMG1385            ","Jv4638              ","23","130                 ","69600.00","Jv5690              "
"cr354               ","8/24/2017 12:00:00 AM","INMG141             ","Jv5138              ","23","chq 1459            ","69600.00","Jv5881              "
"cr354               ","9/28/2017 12:00:00 AM","INMG1437            ","Jv5544              ","23","chq 1081            ","69600.00","Jv6511              "
"cr354               ","10/25/2017 12:00:00 AM","INV1463             ","Jv5796              ","23","bbk1113             ","69600.00","Jv8100              "
"cr356               ","4/4/2013 12:00:00 AM","437                 ","J.5451              ","20","000444c             ","56368.00","J.5704              "
"cr390               ","6/7/2013 12:00:00 AM","476                 ","J.6885              ","20","00621               ","10440.00","J.6563              "
"cr356               ","6/7/2013 12:00:00 AM","476                 ","J.6885              ","20","00621               ","10440.00","J.6563              "
