"customerCode","stockcode","approved","approvedby","DateTime","units_code","quantity","price","id","container"
"Dr510856","S.99","True","Lucybriate","8/5/2021 5:32:00 AM","u 10","200","18650","168",""
"Dr510862","S.60166","True","Lucybriate","3/3/2023 1:18:00 PM","u 9","20","3965.517","1115",""
"Dr510863","S.60166","True","Mugure","8/5/2021 1:49:00 PM","u20","4","1800","172",""
"Dr510863","S.103","True","Mugure","8/5/2021 1:49:00 PM","u20","4","1800","173",""
"Dr510864","S.6","True","Lucybriate","3/8/2022 3:18:00 PM","u 10","200","14482.76","647",""
"Dr510976","S.95","True","Sarah","2/21/2023 12:29:00 PM","u 9","20","8620.689","945",""
"","S.60224","True","","","u 7","1","408","509",""
"Dr510865","S.60166","True","Mary","8/11/2021 12:32:00 PM","u 9","20","1800","180",""
"Dr510766","S.60193","True","Sarah","2/21/2023 7:58:00 AM","u20","4","1034.483","925",""
"Dr510888","S.60166","True","Mugure","9/21/2021 9:43:00 AM","u20","4","1025.862","275",""
"Dr510976","S.103","True","Sarah","2/21/2023 12:48:00 PM","u20","4","862.07","946",""
"Dr510976","S.60166","True","Lucybriate","4/20/2022 10:38:00 AM","u 9","20","3793.104","743",""
"","S.60185","True","","","u20","4","1293.103","206","S.93"
"Dr510771","S.103","True","Lucybriate","8/13/2021 11:54:00 AM","u20","4","1000","189",""
"Dr510771","S.60166","True","Lucybriate","8/13/2021 11:54:00 AM","u20","4","980","190",""
"Dr510960","S.122","True","Lucybriate","2/18/2022 9:22:00 AM","u 6","1","500","599",""
"","S.60231","True","","","u 9","20","5000","627","S.90"
"Dr510867","S.35","True","Lucybriate","8/26/2021 6:56:00 AM","u20","4","1724.138","209",""
"Dr510869","S.150","True","Lucybriate","8/24/2021 1:57:00 PM","u 10","200","17241.38","198",""
"Dr510869","S.99","True","Lucybriate","8/24/2021 1:57:00 PM","u 10","200","16379.31","199",""
"Dr533","S.9","True","Mary","8/25/2021 5:40:00 AM","u 10","200","20689.65","200",""
"Dr510890","S.6","True","admin","9/21/2021 10:49:00 AM","u 10","200","13793.1","277",""
"Dr510771","S.60185","True","Lucybriate","3/3/2022 12:55:00 PM","u20","4","1050","638",""
"Dr533","S.6","True","Lucybriate","8/30/2021 1:03:00 PM","u 10","200","14655.17","210",""
"","S.60206","True","","","u 7","1","109","217",""
"","S.122","True","","","u 6","1","350","218","S.122"
"Dr510871","S.122","False","Lucybriate","10/21/2021 12:14:00 PM","u 6","1","350","219",""
"Dr510868","S.60206","True","Lucybriate","9/2/2021 1:16:00 PM","u 7","1","108.64","220",""
"Dr510873","S.103","True","Mugure","9/3/2021 8:53:00 AM","u 9","20","4741.379","221",""
"Dr510874","S.60166","True","Lucybriate","9/3/2021 10:42:00 AM","u 9","20","4741.379","222",""
"Dr510830","S.9","True","Lucybriate","9/3/2021 11:16:00 AM","u 10","200","20689.65","224",""
"Dr510875","S.6","True","Lucybriate","9/6/2021 5:32:00 AM","u 10","200","14655.17","227",""
"Dr510876","S.103","True","Lucybriate","9/6/2021 6:59:00 AM","u 9","20","4310.345","229",""
"Dr510877","S.122","False","Lucybriate","10/21/2021 12:12:00 PM","u 6","1","350","230",""
"Dr510878","S.35","True","Mugure","9/7/2021 7:50:00 AM","u 9","20","5172.414","234",""
"Dr510769","S.150","True","Mugure","9/9/2021 6:49:00 AM","u 10","200","18103.45","236",""
"Dr510881","S.60166","True","Lucybriate","9/13/2021 9:16:00 AM","u20","4","939.6552","241",""
"Dr510881","S.103","True","Lucybriate","9/13/2021 9:16:00 AM","u20","4","991.3793","242",""
"Dr510880","S.60166","True","Lucybriate","9/13/2021 9:29:00 AM","u20","4","939.6552","247",""
