"entryno","documenttype","docdate","documentno","locationcode","stocktype","code","description","unitofmeasure","Quantity","Quantity_toinvoice","Qunatity_delivered","UnitPrice","vatamount","invoiceamount","completed","printed","containerprice","containersunits","totalchargedcontainers","containercode","vatrate","inclusive","UOM","shipping","discount","PartPerUnit","QuantityToReceive","PriceToReceive","unitofreceivedIn","packzizegrn"
"1011927","20","12/17/2020 12:00:00 AM","PINV754","          ","","S.144               ","WHITE SPIRIT (LAWS)                               ","litres    ","420.00","","","162.28","9542.11","77700.00","","","","","","","14.00","False","fulqty","","","1","420","162.28","litres    ","1"
"1011928","18","12/19/2020 12:00:00 AM","LPO1056","","","S.113               ","Diesel                                            ","litres    ","3000.00","","3000.00","74.56","31315.79","255000.00","True","","","","","","14.00","False","fulqty","","0","1","3000","74.56","litres    ","1"
"1011929","30","12/19/2020 12:00:00 AM","GRN789","","","S.113               ","Diesel                                            ","litres    ","3000.00","","","74.56","31315.79","255000.00","","","","","","","14.00","False","fulqty","","","1","3000","74.56","litres    ","1"
"1011930","20","12/19/2020 12:00:00 AM","PINV755","          ","","S.113               ","Diesel                                            ","litres    ","3000.00","","","74.56","31315.79","255000.00","","","","","","","14.00","False","fulqty","","","1","3000","74.56","litres    ","1"
"1011931","18","12/22/2020 12:00:00 AM","LPO1057","","","S.90                ","Buckets                                           ","bucket    ","100.00","","100.00","415","5810.00","47310.00","True","","","","","","14.00","False","fulqty","","0","1","100","415","bucket    ","1"
"1011932","18","12/22/2020 12:00:00 AM","LPO1057","","","S.93                ","Tins 4ltrs                                        ","Units     ","200.00","","200.00","74.5","2086.00","16986.00","True","","","","","","14.00","False","fulqty","","0","1","200","74.5","Units     ","1"
"1011933","30","12/22/2020 12:00:00 AM","GRN790","","","S.90                ","Buckets                                           ","bucket    ","100.00","","","415","5810.00","47310.00","","","","","","","14.00","False","fulqty","","","1","100","415","bucket    ","1"
"1011934","30","12/22/2020 12:00:00 AM","GRN790","","","S.93                ","Tins 4ltrs                                        ","Units     ","200.00","","","74.5","2086.00","16986.00","","","","","","","14.00","False","fulqty","","","1","200","74.5","Units     ","1"
"1011935","20","12/21/2020 12:00:00 AM","PINV756","          ","","S.90                ","Buckets                                           ","bucket    ","100.00","","","415","5810.00","47310.00","","","","","","","14.00","False","fulqty","","","1","100","415","bucket    ","1"
"1011936","20","12/21/2020 12:00:00 AM","PINV756","          ","","S.93                ","Tins 4ltrs                                        ","Units     ","200.00","","","74.5","2086.00","16986.00","","","","","","","14.00","False","fulqty","","","1","200","74.5","Units     ","1"
"1011937","18","12/22/2020 12:00:00 AM","LPO1058","","","S.30164             ","CAUSTIC SODA                                      ","kgs       ","25.00","","25.00","85","297.50","2422.50","True","","","","","","14.00","False","fulqty","","0","1","25","85","kgs       ","1"
"1011938","30","12/22/2020 12:00:00 AM","GRN791","","","S.30164             ","CAUSTIC SODA                                      ","kgs       ","25.00","","","85","297.50","2422.50","","","","","","","14.00","False","fulqty","","","1","25","85","kgs       ","1"
"1011939","20","12/22/2020 12:00:00 AM","PINV757","          ","","S.30164             ","CAUSTIC SODA                                      ","kgs       ","25.00","","","85","297.50","2422.50","","","","","","","14.00","False","fulqty","","","1","25","85","kgs       ","1"
"1011940","18","12/22/2020 12:00:00 AM","LPO1059","","","S.15                ","Drum Empties                                      ","Units     ","6.00","","6.00","900","0.00","5400.00","True","","","","","","0.00","False","fulqty","","0","1","6","900","Units     ","1"
"1011941","30","12/22/2020 12:00:00 AM","GRN792","","","S.15                ","Drum Empties                                      ","Units     ","6.00","","","900","0.00","5400.00","","","","","","","0.00","False","fulqty","","","1","6","900","Units     ","1"
"1011942","18","12/21/2020 12:00:00 AM","LPO1060","","","S.15                ","Drum Empties                                      ","Units     ","100.00","","100.00","1000","0.00","100000.00","True","","","","","","0.00","True","fulqty","","0","1","100","1000","Units     ","1"
"1011943","30","12/21/2020 12:00:00 AM","GRN793","","","S.15                ","Drum Empties                                      ","Units     ","100.00","","","1000","0.00","100000.00","","","","","","","0.00","True","fulqty","","","1","100","1000","Units     ","1"
"1011944","20","12/21/2020 12:00:00 AM","PINV758","          ","","S.15                ","Drum Empties                                      ","Units     ","100.00","","","1000","0.00","100000.00","","","","","","","0.00","True","fulqty","","","1","100","1000","Units     ","1"
"1011945","18","12/21/2020 12:00:00 AM","LPO1061","","","S.60179             ","SBS                                               ","kgs       ","240.00","","240.00","360","0.00","86400.00","True","","","","","","14.00","False","fulqty","","0","1","240","360","kgs       ","1"
"1011946","30","12/21/2020 12:00:00 AM","GRN794","","","S.60179             ","SBS                                               ","kgs       ","240.00","","","360","0.00","86400.00","","","","","","","14.00","False","fulqty","","","1","240","360","kgs       ","1"
"1011947","18","12/23/2020 12:00:00 AM","LPO1062","","","S.16","180Kgs Bitumen 80/100                             ","Drums     ","145.00","","145.00","9157.89","185905.26","1513800.00","True","","","","","","14.00","False","fulqty","","0","180","145","9157.89","Drums     ","180"
"1011948","30","12/23/2020 12:00:00 AM","GRN795","","","S.16","180Kgs Bitumen 80/100                             ","Drums     ","145.00","","","9157.89","185905.26","1513800.00","","","","","","","14.00","False","fulqty","","","180","145","9157.89","Drums     ","180"
"1011949","20","12/21/2020 12:00:00 AM","PINV759","          ","","S.60179             ","SBS                                               ","kgs       ","240.00","","","360","0.00","86400.00","","","","","","","14.00","False","fulqty","","","1","240","360","kgs       ","1"
"1011950","20","12/23/2020 12:00:00 AM","PINV760","          ","","S.16","180Kgs Bitumen 80/100                             ","Drums     ","145.00","","","9157.89","185905.26","1513800.00","","","","","","","14.00","False","fulqty","","","180","145","9157.89","Drums     ","180"
"1011951","18","12/23/2020 12:00:00 AM","LPO1063","","","S.161               ","Redicote E 4875 NPF                               ","Drums     ","210.00","","210.00","725","21315.00","173565.00","True","","","","","","14.00","False","loosqty","","0","1","210","725","Drums     ","1"
"1011952","30","12/23/2020 12:00:00 AM","GRN796","","","S.161               ","Redicote E 4875 NPF                               ","Drums     ","210.00","","","725","21315.00","173565.00","","","","","","","14.00","False","loosqty","","","1","210","725","Drums     ","1"
"1011953","20","12/23/2020 12:00:00 AM","PINV761","          ","","S.161               ","Redicote E 4875 NPF                               ","Drums     ","210.00","","","725","21315.00","173565.00","","","","","","","14.00","False","loosqty","","","1","210","725","Drums     ","1"
"1011954","18","1/5/2021 12:00:00 AM","LPO1065","","","S.15                ","Drum Empties                                      ","Units     ","19.00","","19.00","900","0.00","17100.00","True","","","","","","0.00","False","fulqty","","0","1","19","900","Units     ","1"
"1011955","30","1/5/2021 12:00:00 AM","GRN797","","","S.15                ","Drum Empties                                      ","Units     ","19.00","","","900","0.00","17100.00","","","","","","","0.00","False","fulqty","","","1","19","900","Units     ","1"
"1011956","20","1/5/2021 12:00:00 AM","PINV762","          ","","S.15                ","Drum Empties                                      ","Units     ","19.00","","","900","0.00","17100.00","","","","","","","0.00","False","fulqty","","","1","19","900","Units     ","1"
"1011957","18","1/5/2021 12:00:00 AM","LPO1068","","","S.60170             ","VINOSOL                                           ","kgs       ","75.00","","75.00","840","0.00","63000.00","True","","","","","","14.00","False","fulqty","","0","1","75","840","kgs       ","1"
"1011958","30","1/5/2021 12:00:00 AM","GRN798","","","S.60170             ","VINOSOL                                           ","kgs       ","75.00","","","840","0.00","63000.00","","","","","","","14.00","False","fulqty","","","1","75","840","kgs       ","1"
