"Date","Documentno","Documenttype","Accountno","Grossamount","JournalNo","Dimension_One","Dimension_Two","Currency","whtax"
"4/11/2022 12:00:00 AM","P0287               ","2","cr190618            ","51840.00","Jv35978             ","","","KES",""
"4/11/2022 12:00:00 AM","P0287               ","2","cr190618            ","2750.00","Jv35981             ","","","KES",""
"4/12/2022 12:00:00 AM","P0287               ","2","cr30600             ","2200.00","Jv35990             ","","","KES",""
"4/14/2022 12:00:00 AM","P0287               ","2","cr190695            ","11252.00","Jv36024             ","","","KES",""
"4/14/2022 12:00:00 AM","P0287               ","2","cr380               ","5735.00","Jv36026             ","","","KES",""
"4/14/2022 12:00:00 AM","P0287               ","2","cr190699            ","19200.00","Jv36031             ","","","KES",""
"4/14/2022 12:00:00 AM","P0287               ","2","cr349               ","10500.00","Jv36033             ","","","KES",""
"4/21/2022 12:00:00 AM","LPO1700             ","20","cr190699            ","-19200.00","Jv36045             ","          ","          ","KES",""
"4/16/2022 12:00:00 AM","P0287               ","2","cr190734            ","8095.00","Jv36054             ","","","KES",""
"4/21/2022 12:00:00 AM","4321                ","0","cr190708            ","-46000.00","Jv36056             ","B01       ","          ","KES",""
"3/2/2022 12:00:00 AM","LPO1701             ","20","cr190689            ","-25000.00","Jv36058             ","E25       ","          ","KES",""
"4/8/2022 12:00:00 AM","1788                ","23","cr349               ","-10500.00","Jv36063             ","          ","          ","KES","False"
"12/1/2021 12:00:00 AM","1789                ","23","cr190695            ","-11252.00","Jv36064             ","26        ","          ","KES","False"
"3/12/2022 12:00:00 AM","PR17                ","24","cr190730            ","84000.00","Jv36065             ","E25       ","          ","KES",""
"3/12/2022 12:00:00 AM","LPO1702             ","20","cr190730            ","-69000.00","Jv36068             ","E25       ","          ","KES",""
"4/20/2022 12:00:00 AM","LPO1703             ","20","cr190676            ","-84500.00","Jv36079             ","          ","          ","KES",""
"4/14/2022 12:00:00 AM","1790                ","23","cr349               ","-10500.00","Jv36080             ","27        ","          ","KES","False"
"3/31/2022 12:00:00 AM","1791                ","23","cr368               ","-434196.00","Jv36081             ","          ","          ","KES","False"
"4/20/2022 12:00:00 AM","chq000131           ","53","cr368               ","434196.00","Jv36083             ","","","KES",""
"4/21/2022 12:00:00 AM","4328                ","0","cr575               ","55000.00","Jv36088             ","          ","          ","KES",""
"4/8/2022 12:00:00 AM","Chq002987           ","53","cr190731            ","43000.00","Jv36086             ","","","KES",""
"4/13/2022 12:00:00 AM","4327                ","0","cr575               ","50000.00","Jv36087             ","          ","          ","KES",""
"3/30/2022 12:00:00 AM","PINV.1243           ","20","cr190646            ","-110000.04","Jv36093             ","          ","          ","KES",""
"3/30/2022 12:00:00 AM","1792                ","23","cr190646            ","-3000.00","Jv36094             ","E26       ","          ","KES","False"
"4/4/2022 12:00:00 AM","Chq002983           ","53","cr190646            ","113000.00","Jv36096             ","","","KES",""
"4/4/2022 12:00:00 AM","4329                ","0","cr190646            ","-113000.00","Jv36097             ","          ","          ","KES",""
"4/8/2022 12:00:00 AM","1793                ","23","cr190646            ","-2400.00","Jv36098             ","E21       ","          ","KES","False"
"4/8/2022 12:00:00 AM","Chq002988           ","53","cr190646            ","115400.00","Jv36100             ","","","KES",""
"4/21/2022 12:00:00 AM","4330                ","0","cr190734            ","-8095.00","Jv36106             ","          ","          ","KES",""
"3/31/2022 12:00:00 AM","1794                ","23","cr582               ","-15000.00","Jv36125             ","08        ","          ","KES","False"
"4/30/2022 12:00:00 AM","1795                ","23","cr582               ","-15000.00","Jv36126             ","08        ","          ","KES","False"
"4/20/2022 12:00:00 AM","P0287               ","2","cr582               ","30000.00","Jv36127             ","","","KES",""
"3/1/2022 12:00:00 AM","LPO1706             ","20","cr576               ","-10000.00","Jv36156             ","E25       ","          ","KES",""
"4/23/2022 12:00:00 AM","P0287               ","2","cr190734            ","8049.00","Jv36162             ","","","KES",""
"2/22/2022 12:00:00 AM","chq003057           ","53","cr190729            ","31400.00","Jv36166             ","","","KES",""
"4/22/2022 12:00:00 AM","1796                ","23","cr538               ","-767780.53","Jv36169             ","21        ","          ","KES","False"
"4/20/2022 12:00:00 AM","1797                ","23","cr140615            ","-45000.00","Jv36172             ","26        ","          ","KES","False"
"12/20/2021 12:00:00 AM","LPO1707             ","20","cr190721            ","-50000.00","Jv36182             ","E25       ","          ","KES",""
"4/26/2022 12:00:00 AM","LPO1708             ","20","cr190698            ","-112543.20","Jv36184             ","E25       ","          ","KES",""
"4/26/2022 12:00:00 AM","LPO1709             ","20","cr190676            ","-106600.00","Jv36201             ","E25       ","          ","KES",""
"3/15/2022 12:00:00 AM","0000                ","53","cr190718            ","27500.00","Jv36212             ","","","KES",""
"2/9/2022 12:00:00 AM","LPO1710             ","20","cr190718            ","-78750.00","Jv36215             ","E25       ","          ","KES",""
"12/10/2021 12:00:00 AM","0000                ","53","cr190718            ","82000.00","Jv36221             ","","","KES",""
"3/25/2022 12:00:00 AM","P0287               ","2","cr349               ","2000.00","Jv36230             ","","","KES",""
"4/28/2022 12:00:00 AM","LPO1711             ","20","cr190674            ","-89900.00","Jv36242             ","E25       ","          ","KES",""
"4/30/2022 12:00:00 AM","1798                ","23","cr473               ","-96776.28","Jv36259             ","E2        ","          ","KES","False"
"4/28/2022 12:00:00 AM","Chq000132           ","53","cr190674            ","89000.00","Jv36261             ","","","KES",""
"5/4/2022 12:00:00 AM","Chq003004           ","53","cr190674            ","350000.00","Jv36263             ","","","KES",""
